일시,평균기온,최고기온,최저기온
20171117000000,3.0,5.8,-1.6
20171118000000,-2.1,2.6,-4.8
20171119000000,-1.6,3.5,-6.6
20171120000000,-0.4,4.2,-3.9
20171121000000,1.3,8.1,-4.2
20171122000000,4.3,10.8,0.6
20171123000000,0.9,4.7,-2.5
20171124000000,-0.4,2.9,-2.5
20171125000000,3.0,7.3,-3.3
20171126000000,3.3,7.6,-0.3
20171127000000,2.5,9.5,-2.9
20171128000000,6.4,11.2,1.3
20171129000000,3.2,8.1,-1.8
20171130000000,-2.4,2.7,-5.2
20171201000000,-2.2,3.1,-7.6
20171202000000,1.9,8.1,-4.6
20171203000000,4.9,8.1,3.1
20171204000000,-1.2,4.5,-6.1
20171205000000,-4.2,-0.4,-8.2
20171206000000,0.2,6.0,-4.5
20171207000000,0.7,4.6,-3.5
20171208000000,-3.8,-0.5,-7.1
20171209000000,-0.5,5.4,-5.6
20171210000000,1.1,6.7,-2.5
20171211000000,-7.0,-2.5,-11.0
20171212000000,-9.4,-5.2,-12.3
20171213000000,-8.7,-4.4,-12.0
20171214000000,-6.6,-1.9,-11.2
20171215000000,-3.0,0.9,-7.5
20171216000000,-5.7,-2.6,-8.1
20171217000000,-6.7,-2.3,-10.8
20171218000000,-1.6,3.3,-5.9
20171219000000,-3.9,-1.0,-6.5
20171220000000,-3.9,-0.1,-8.5
20171221000000,-0.9,4.6,-5.6
20171222000000,3.4,6.6,-1.9
20171223000000,6.1,8.7,5.0
20171224000000,2.9,5.7,-0.6
20171225000000,-2.1,0.6,-4.9
20171226000000,-3.8,-1.1,-7.9
20171227000000,-6.9,-2.6,-10.3
20171228000000,-2.1,0.8,-6.8
20171229000000,2.1,6.0,-0.4
20171230000000,1.4,4.5,-1.2
20171231000000,-0.3,3.3,-3.2
20180101000000,-1.3,3.8,-5.1
20180102000000,-1.8,1.8,-4.3
20180103000000,-4.7,-0.4,-7.1
20180104000000,-4.7,-0.7,-8.7
20180105000000,-3.0,1.6,-5.6
