"		지점번호",지점명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),"	최대풍속시각",최대순간풍속(m/s),최대순간풍속풍향(deg),"	최대순간풍속시각"
"		108",서울,2020-06-08,2.1,5.5,290,18:24,8.8,290,17:59
"		108",서울,2020-06-09,2.3,4.3,290,15:38,7.9,340,16:22
"		108",서울,2020-06-10,2,6.2,340,17:47,9.8,270,17:55
"		108",서울,2020-06-11,2.2,4.6,290,20:22,7.2,270,20:22
"		108",서울,2020-06-12,1.7,3,320,4:24,4.7,340,4:24
"		108",서울,2020-06-13,1.9,5,290,19:46,8.4,290,19:46
"		108",서울,2020-06-14,2.9,5.9,290,16:27,10.1,320,18:22
"		108",서울,2020-06-15,2.8,6.3,290,16:16,13.4,250,15:38
"		108",서울,2020-06-16,2.2,4.4,270,16:51,6.9,250,16:52
"		108",서울,2020-06-17,2,4.3,290,16:44,7.9,230,16:26
"		108",서울,2020-06-18,1.6,3.4,290,18:45,5.6,290,18:40
"		108",서울,2020-06-19,2.1,4.2,290,19:01,7.1,50,0:56
"		108",서울,2020-06-20,2.1,4.6,320,16:16,7.9,270,15:42
"		108",서울,2020-06-21,2,4.5,290,15:18,8.4,290,15:15
"		108",서울,2020-06-22,2,4.1,290,18:07,6.7,290,17:00
"		108",서울,2020-06-23,1.9,3.7,250,14:30,5.7,250,14:28
"		108",서울,2020-06-24,2.7,5.7,140,10:05,10,110,7:02
"		108",서울,2020-06-25,2.2,4.3,180,21:26,7.1,180,15:10
"		108",서울,2020-06-26,3.2,5.3,230,3:23,9.5,200,3:15
"		108",서울,2020-06-27,2,5.4,290,17:59,8.3,250,16:42
"		108",서울,2020-06-28,2.4,4.7,250,16:46,7.7,270,16:41
"		108",서울,2020-06-29,2.4,5.9,50,23:37,9.9,50,22:57
"		108",서울,2020-06-30,4,7.6,50,2:32,14.5,50,2:20
